prabhag_no,area,population,slums_area,slum_hh,,value_for_area_index,max_value,min_value,area_index,value_for_population_index,max_value,min_value,population_index,value_for_slum_area_index,max_value,min_value,slum_area_index,value_for_slum_hh_index,max_value,min_value,slum_hh_index,structure_index
1,20.86,76143,239.79,800,,20.86,0.37,20.86,0.00,76143,24983,89668,0.21,239.79,0,3439.64,0.93,800,0,13781,0.94,0.67
2,8.21,50675,117.25,2,,8.21,0.37,20.86,0.62,50675,24983,89668,0.60,117.25,0,3439.64,0.97,2,0,13781,1.00,0.82
3,4.3,50946,432.17,1491,,4.3,0.37,20.86,0.81,50946,24983,89668,0.60,432.17,0,3439.64,0.87,1491,0,13781,0.89,0.80
4,2.35,33623,1338.94,3568,,2.35,0.37,20.86,0.90,33623,24983,89668,0.87,1338.94,0,3439.64,0.61,3568,0,13781,0.74,0.79
5,6.49,49030,914.66,2189,,6.49,0.37,20.86,0.70,49030,24983,89668,0.63,914.66,0,3439.64,0.73,2189,0,13781,0.84,0.73
6,1.85,33710,1479.6,1232,,1.85,0.37,20.86,0.93,33710,24983,89668,0.87,1479.6,0,3439.64,0.57,1232,0,13781,0.91,0.83
7,5.48,28576,1117.1,3084,,5.48,0.37,20.86,0.75,28576,24983,89668,0.94,1117.1,0,3439.64,0.68,3084,0,13781,0.78,0.79
8,4.39,35403,320.36,1365,,4.39,0.37,20.86,0.80,35403,24983,89668,0.84,320.36,0,3439.64,0.91,1365,0,13781,0.90,0.86
9,14.96,50476,12.96,142,,14.96,0.37,20.86,0.29,50476,24983,89668,0.61,12.96,0,3439.64,1.00,142,0,13781,0.99,0.78
10,13.99,33483,296.76,100,,13.99,0.37,20.86,0.34,33483,24983,89668,0.87,296.76,0,3439.64,0.91,100,0,13781,0.99,0.82
11,2.19,34668,836.73,4497,,2.19,0.37,20.86,0.91,34668,24983,89668,0.85,836.73,0,3439.64,0.76,4497,0,13781,0.67,0.80
12,2.33,26231,306.4,1356,,2.33,0.37,20.86,0.90,26231,24983,89668,0.98,306.4,0,3439.64,0.91,1356,0,13781,0.90,0.92
13,4.51,30631,1062.48,3633,,4.51,0.37,20.86,0.80,30631,24983,89668,0.91,1062.48,0,3439.64,0.69,3633,0,13781,0.74,0.79
14,1.51,34287,2170.84,9409,,1.51,0.37,20.86,0.94,34287,24983,89668,0.86,2170.84,0,3439.64,0.37,9409,0,13781,0.32,0.68
15,0.37,36848,3439.64,10190,,0.37,0.37,20.86,1.00,36848,24983,89668,0.82,3439.64,0,3439.64,0.00,10190,0,13781,0.26,0.66
16,2.96,36153,1018.76,5931,,2.96,0.37,20.86,0.87,36153,24983,89668,0.83,1018.76,0,3439.64,0.70,5931,0,13781,0.57,0.75
17,4.51,35239,675.37,4,,4.51,0.37,20.86,0.80,35239,24983,89668,0.84,675.37,0,3439.64,0.80,4,0,13781,1.00,0.86
18,3.68,44083,48.56,0,,3.68,0.37,20.86,0.84,44083,24983,89668,0.70,48.56,0,3439.64,0.99,0,0,13781,1.00,0.89
19,2.71,49832,127.6,557,,2.71,0.37,20.86,0.89,49832,24983,89668,0.62,127.6,0,3439.64,0.96,557,0,13781,0.96,0.87
20,10.15,52265,1614.25,2443,,10.15,0.37,20.86,0.52,52265,24983,89668,0.58,1614.25,0,3439.64,0.53,2443,0,13781,0.82,0.63
21,4.15,26043,824.97,2875,,4.15,0.37,20.86,0.82,26043,24983,89668,0.98,824.97,0,3439.64,0.76,2875,0,13781,0.79,0.84
22,1.45,32565,1323.75,7292,,1.45,0.37,20.86,0.95,32565,24983,89668,0.88,1323.75,0,3439.64,0.62,7292,0,13781,0.47,0.75
23,0.46,31936,1097.72,13,,0.46,0.37,20.86,1.00,31936,24983,89668,0.89,1097.72,0,3439.64,0.68,13,0,13781,1.00,0.90
24,1.96,25463,565.62,1560,,1.96,0.37,20.86,0.92,25463,24983,89668,0.99,565.62,0,3439.64,0.84,1560,0,13781,0.89,0.91
25,0.5,31252,1494.46,3560,,0.5,0.37,20.86,0.99,31252,24983,89668,0.90,1494.46,0,3439.64,0.57,3560,0,13781,0.74,0.82
26,2.05,31234,1245.39,10,,2.05,0.37,20.86,0.92,31234,24983,89668,0.90,1245.39,0,3439.64,0.64,10,0,13781,1.00,0.88
27,1.43,46384,742.84,2,,1.43,0.37,20.86,0.95,46384,24983,89668,0.67,742.84,0,3439.64,0.78,2,0,13781,1.00,0.86
28,2.35,48435,1354.09,8,,2.35,0.37,20.86,0.90,48435,24983,89668,0.64,1354.09,0,3439.64,0.61,8,0,13781,1.00,0.80
29,9.65,58669,0,0,,9.65,0.37,20.86,0.55,58669,24983,89668,0.48,0,0,3439.64,1.00,0,0,13781,1.00,0.80
