,Address,Rating,Latitude,Longitude
0,"FC Road, Pune",5.0,18.52252580,73.84093080
1,"Amanora Town Centre, Hadapsar",5.0,18.51800000,73.93490000
2,"The Pavillion, Senapati Bapat Road",5.0,18.53437700,73.82985800
3,"FC Road, Pune",5.0,18.52249908,73.84100342
4,"Koregaon Park, Pune",5.0,18.53739929,73.88510132
5,"Balewadi, Pune",4.5,18.56978550,73.77427930
6,"Viman Nagar, Pune",4.5,18.56277520,73.91668390
7,"Aundh, Pune",4.0,18.55690002,73.80899811
8,"Aundh, Pune",4.0,18.55665200,73.80850760
9,"Aundh, Pune",4.0,28.63218480,77.21749930
10,"Kharadi, Pune",4.0,18.55271290,73.95054370
11,"Kothrud, Pune",4.0,18.50215100,73.82168430
12,"Kharadi, Pune",4.0,18.55293700,73.95080700
13,"Phoenix Market City, Viman Nagar",4.0,18.56530000,73.91690000
14,"Seasons Mall, Magarpatta",4.0,18.51950000,73.93160000
15,"Hadapsar, Pune",4.0,18.51901330,73.93439170
16,"Hadapsar, Pune",4.0,18.51901330,73.93466530
17,"Koregaon Park, Pune",4.0,18.53932000,73.88665550
18,"Kalyani Nagar, Pune",4.0,18.54644060,73.90052840
19,"Kharadi, Pune",3.0,18.55380058,73.95059967
